Date,Tweet,Likes,Retweet,User,Location,Followers,Created_at,tokenized_text,no_stopwords
2021-10-24 01:53:48+00:00,"Bagaimana pun situasi pandemi yang kita hadapi, para dokter tetap siaga. Mereka telah menyumbang keahlian, pikiran, dan tenaga, bahkan bertaruh nyawa untuk menyelamatkan bangsa ini.  

Para dokter adalah pahlawan tanpa pamrih, yang berjuang sampai ancaman pandemi telah usai. https://t.co/WKKnME1v3i",4768,788,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Bagaimana', 'pun', 'situasi', 'pandemi', 'yang', 'kita', 'hadapi', ',', 'para', 'dokter', 'tetap', 'siaga', '.', 'Mereka', 'telah', 'menyumbang', 'keahlian', ',', 'pikiran', ',', 'dan', 'tenaga', ',', 'bahkan', 'bertaruh', 'nyawa', 'untuk', 'menyelamatkan', 'bangsa', 'ini', '.', 'Para', 'dokter', 'adalah', 'pahlawan', 'tanpa', 'pamrih', ',', 'yang', 'berjuang', 'sampai', 'ancaman', 'pandemi', 'telah', 'usai', '.', 'https', ':', '//t.co/WKKnME1v3i']","Bagaimana situasi pandemi hadapi, dokter siaga. Mereka menyumbang keahlian, pikiran, tenaga, bertaruh nyawa menyelamatkan bangsa ini. Para dokter pahlawan pamrih, berjuang ancaman pandemi usai. https://t.co/WKKnME1v3i"
2021-10-23 07:06:59+00:00,"Setiap kali datang ke Makassar, yang terbayang adalah makanan khas yang nikmat di lidah. Ada coto makassar, sop konro, sop saudara, ikan bakar, dan lain-lain. Semuanya enak. 

Makanan Makassar membuat kita rindu untuk kembali datang ke kota ini.

https://t.co/xX6XrT5zNk",3921,462,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Setiap', 'kali', 'datang', 'ke', 'Makassar', ',', 'yang', 'terbayang', 'adalah', 'makanan', 'khas', 'yang', 'nikmat', 'di', 'lidah', '.', 'Ada', 'coto', 'makassar', ',', 'sop', 'konro', ',', 'sop', 'saudara', ',', 'ikan', 'bakar', ',', 'dan', 'lain-lain', '.', 'Semuanya', 'enak', '.', 'Makanan', 'Makassar', 'membuat', 'kita', 'rindu', 'untuk', 'kembali', 'datang', 'ke', 'kota', 'ini', '.', 'https', ':', '//t.co/xX6XrT5zNk']","Setiap kali Makassar, terbayang makanan khas nikmat lidah. Ada coto makassar, sop konro, sop saudara, ikan bakar, lain-lain. Semuanya enak. Makanan Makassar rindu kota ini. https://t.co/xX6XrT5zNk"
2021-10-23 02:03:50+00:00,"Di sela-sela kegiatan memantau pembangunan, bertemu warga, pimpinan daerah, dan lain-lain, saya tak melupakan satu kegemaran: menikmati makanan dan minuman khas daerah yang saya kunjungi.

Apa nama makanan khas daerah Anda? Dan makanan daerah mana saja yang menjadi kesukaan Anda? https://t.co/FOtoStwO8d",7483,1001,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Di', 'sela-sela', 'kegiatan', 'memantau', 'pembangunan', ',', 'bertemu', 'warga', ',', 'pimpinan', 'daerah', ',', 'dan', 'lain-lain', ',', 'saya', 'tak', 'melupakan', 'satu', 'kegemaran', ':', 'menikmati', 'makanan', 'dan', 'minuman', 'khas', 'daerah', 'yang', 'saya', 'kunjungi', '.', 'Apa', 'nama', 'makanan', 'khas', 'daerah', 'Anda', '?', 'Dan', 'makanan', 'daerah', 'mana', 'saja', 'yang', 'menjadi', 'kesukaan', 'Anda', '?', 'https', ':', '//t.co/FOtoStwO8d']","Di sela-sela kegiatan memantau pembangunan, bertemu warga, pimpinan daerah, lain-lain, melupakan kegemaran: menikmati makanan minuman khas daerah kunjungi. Apa nama makanan khas daerah Anda? Dan makanan daerah kesukaan Anda? https://t.co/FOtoStwO8d"
2021-10-22 03:35:28+00:00,"Zaman berubah-ubah tapi para santri Indonesia tetap teguh pada satu hal: siap siaga membela tanah air, mempertahankan persatuan, dan mewujudkan perdamaian.

Di masa pandemi ini, jiwa dan raga santri Indonesia juga bersiaga untuk bersama-sama memutus rantai penyebaran Covid-19. https://t.co/nqrl6RReNd",4303,555,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Zaman', 'berubah-ubah', 'tapi', 'para', 'santri', 'Indonesia', 'tetap', 'teguh', 'pada', 'satu', 'hal', ':', 'siap', 'siaga', 'membela', 'tanah', 'air', ',', 'mempertahankan', 'persatuan', ',', 'dan', 'mewujudkan', 'perdamaian', '.', 'Di', 'masa', 'pandemi', 'ini', ',', 'jiwa', 'dan', 'raga', 'santri', 'Indonesia', 'juga', 'bersiaga', 'untuk', 'bersama-sama', 'memutus', 'rantai', 'penyebaran', 'Covid-19', '.', 'https', ':', '//t.co/nqrl6RReNd']","Zaman berubah-ubah santri Indonesia teguh hal: siaga membela tanah air, mempertahankan persatuan, mewujudkan perdamaian. Di pandemi ini, jiwa raga santri Indonesia bersiaga memutus rantai penyebaran Covid-19. https://t.co/nqrl6RReNd"
2021-10-21 12:07:03+00:00,"Jembatan ini dibangun dengan teknologi tinggi, tahan gempa, dan diperkirakan mampu bertahan hingga 100 tahun.

Kehadiran Jembatan Sei Alalak akan memperkuat konektivitas antarwilayah di Kalsel, memperlancar arus transportasi antardaerah, dan mengefisienkan biaya-biaya logistik. https://t.co/H4xkY1ZXPE",1817,235,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Jembatan', 'ini', 'dibangun', 'dengan', 'teknologi', 'tinggi', ',', 'tahan', 'gempa', ',', 'dan', 'diperkirakan', 'mampu', 'bertahan', 'hingga', '100', 'tahun', '.', 'Kehadiran', 'Jembatan', 'Sei', 'Alalak', 'akan', 'memperkuat', 'konektivitas', 'antarwilayah', 'di', 'Kalsel', ',', 'memperlancar', 'arus', 'transportasi', 'antardaerah', ',', 'dan', 'mengefisienkan', 'biaya-biaya', 'logistik', '.', 'https', ':', '//t.co/H4xkY1ZXPE']","Jembatan dibangun teknologi tinggi, tahan gempa, bertahan 100 tahun. Kehadiran Jembatan Sei Alalak memperkuat konektivitas antarwilayah Kalsel, memperlancar arus transportasi antardaerah, mengefisienkan biaya-biaya logistik. https://t.co/H4xkY1ZXPE"
2021-10-21 12:07:02+00:00,"Menjajal Jembatan Sei Alalak yang baru saya resmikan siang tadi dengan kendaraan taktis milik Paspampres. 

Jembatan sepanjang 850 m ini berada di jalur utama akses Kota Banjarmasin sekaligus mengatasi kemacetan setelah jalan lingkar selatan rusak diterjang banjir. https://t.co/gFcRKowEkO",5848,742,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Menjajal', 'Jembatan', 'Sei', 'Alalak', 'yang', 'baru', 'saya', 'resmikan', 'siang', 'tadi', 'dengan', 'kendaraan', 'taktis', 'milik', 'Paspampres', '.', 'Jembatan', 'sepanjang', '850', 'm', 'ini', 'berada', 'di', 'jalur', 'utama', 'akses', 'Kota', 'Banjarmasin', 'sekaligus', 'mengatasi', 'kemacetan', 'setelah', 'jalan', 'lingkar', 'selatan', 'rusak', 'diterjang', 'banjir', '.', 'https', ':', '//t.co/gFcRKowEkO']",Menjajal Jembatan Sei Alalak resmikan siang kendaraan taktis milik Paspampres. Jembatan 850 m jalur utama akses Kota Banjarmasin mengatasi kemacetan jalan lingkar selatan rusak diterjang banjir. https://t.co/gFcRKowEkO
2021-10-21 10:13:58+00:00,"Saya meninjau langsung vaksinasi massal di Kota Banjarmasin siang ini yang digelar bersamaan dengan 12 kab/kota lain di Kalsel.

Untuk mempercepat vaksinasi, pemerintah daerah bisa bekerja sama dengan Polres dan Kodim. Apabila stok vaksin habis segera sampaikan ke pusat. https://t.co/wiDp2sICjI",3196,408,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Saya', 'meninjau', 'langsung', 'vaksinasi', 'massal', 'di', 'Kota', 'Banjarmasin', 'siang', 'ini', 'yang', 'digelar', 'bersamaan', 'dengan', '12', 'kab/kota', 'lain', 'di', 'Kalsel', '.', 'Untuk', 'mempercepat', 'vaksinasi', ',', 'pemerintah', 'daerah', 'bisa', 'bekerja', 'sama', 'dengan', 'Polres', 'dan', 'Kodim', '.', 'Apabila', 'stok', 'vaksin', 'habis', 'segera', 'sampaikan', 'ke', 'pusat', '.', 'https', ':', '//t.co/wiDp2sICjI']","Saya meninjau langsung vaksinasi massal Kota Banjarmasin siang digelar bersamaan 12 kab/kota Kalsel. Untuk mempercepat vaksinasi, pemerintah daerah Polres Kodim. Apabila stok vaksin habis pusat. https://t.co/wiDp2sICjI"
2021-10-21 07:41:08+00:00,Potensi minyak sawit mentah atau crude palm oil yang dimiliki Indonesia mencapai 52 juta ton setiap tahun. Ini harus dimanfaatkan sebaik-baiknya dengan melakukan hilirisasi dan industrialisasi kelapa sawit. https://t.co/PKJ5wVbwyh,1502,169,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Potensi', 'minyak', 'sawit', 'mentah', 'atau', 'crude', 'palm', 'oil', 'yang', 'dimiliki', 'Indonesia', 'mencapai', '52', 'juta', 'ton', 'setiap', 'tahun', '.', 'Ini', 'harus', 'dimanfaatkan', 'sebaik-baiknya', 'dengan', 'melakukan', 'hilirisasi', 'dan', 'industrialisasi', 'kelapa', 'sawit', '.', 'https', ':', '//t.co/PKJ5wVbwyh']",Potensi minyak sawit mentah crude palm oil dimiliki Indonesia mencapai 52 juta ton tahun. Ini dimanfaatkan hilirisasi industrialisasi kelapa sawit. https://t.co/PKJ5wVbwyh
2021-10-21 07:41:06+00:00,"Saya mengapresiasi PT Jhonlin Group yang telah membangun pabrik biodiesel dan saya resmikan hari ini di Tanah Bumbu, Kalsel.

Pabrik biodiesel ini tentu akan menciptakan banyak lapangan pekerjaan, menjaga stabilisasi harga CPO, dan berkontribusi mengurangi emisi gas rumah kaca. https://t.co/ctYAD2l0ie",4012,608,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Saya', 'mengapresiasi', 'PT', 'Jhonlin', 'Group', 'yang', 'telah', 'membangun', 'pabrik', 'biodiesel', 'dan', 'saya', 'resmikan', 'hari', 'ini', 'di', 'Tanah', 'Bumbu', ',', 'Kalsel', '.', 'Pabrik', 'biodiesel', 'ini', 'tentu', 'akan', 'menciptakan', 'banyak', 'lapangan', 'pekerjaan', ',', 'menjaga', 'stabilisasi', 'harga', 'CPO', ',', 'dan', 'berkontribusi', 'mengurangi', 'emisi', 'gas', 'rumah', 'kaca', '.', 'https', ':', '//t.co/ctYAD2l0ie']","Saya mengapresiasi PT Jhonlin Group membangun pabrik biodiesel resmikan Tanah Bumbu, Kalsel. Pabrik biodiesel menciptakan lapangan pekerjaan, menjaga stabilisasi harga CPO, berkontribusi mengurangi emisi gas rumah kaca. https://t.co/ctYAD2l0ie"
2021-10-21 01:14:15+00:00,"Saya bertolak menuju Provinsi Kalimantan Selatan pagi ini untuk kunjungan kerja ke Kab. Tanah Bumbu dan Kota Banjarmasin. 

Di Tanah Bumbu, saya akan meresmikan pabrik biodiesel, dan di Banjarmasin saya hendak meninjau kegiatan vaksinasi dan juga meresmikan Jembatan Sei Alalak. https://t.co/IUCAI11Pwf",5969,631,jokowi,Jakarta,16217080,2011-09-03 05:21:21+00:00,"['Saya', 'bertolak', 'menuju', 'Provinsi', 'Kalimantan', 'Selatan', 'pagi', 'ini', 'untuk', 'kunjungan', 'kerja', 'ke', 'Kab', '.', 'Tanah', 'Bumbu', 'dan', 'Kota', 'Banjarmasin', '.', 'Di', 'Tanah', 'Bumbu', ',', 'saya', 'akan', 'meresmikan', 'pabrik', 'biodiesel', ',', 'dan', 'di', 'Banjarmasin', 'saya', 'hendak', 'meninjau', 'kegiatan', 'vaksinasi', 'dan', 'juga', 'meresmikan', 'Jembatan', 'Sei', 'Alalak', '.', 'https', ':', '//t.co/IUCAI11Pwf']","Saya bertolak Provinsi Kalimantan Selatan pagi kunjungan kerja Kab. Tanah Bumbu Kota Banjarmasin. Di Tanah Bumbu, meresmikan pabrik biodiesel, Banjarmasin meninjau kegiatan vaksinasi meresmikan Jembatan Sei Alalak. https://t.co/IUCAI11Pwf"
